drug_name,generic_name_guess,atc_code,count
mitiquapril,mitiquapril,,916
mivifort,mivifort,,917
mocalmix,mocalmix,,34
mogaton,mogaton,,3
mohizi,mohizi,,714
momencef,momencef,,37
monine,monine,,10
montelukast normon,montelukast normon,,390
mopristad,mopristad,,9
morphin,morphin,,22
mosad mt,mosad mt,,18
moxipa,moxipa,,109
muldini,muldini,,1
myfoscin,myfoscin,,12
mylosulprid,mylosulprid,,212
mỡ tra mắt không chất bảo quản hydramed night sensitive,mỡ tra mắt không chất bảo quản hydramed night sensitive,,5
nacepil,nacepil,,123
nakibu,nakibu,,583
nalordia,nalordia,,460
natcorig,natcorig,,2
navaldo,navaldo,,315
nebizide,nebizide,,8
nefolin,nefolin,,229
neilmed nasogel spray,neilmed nasogel spray,,9
neilmed sinus rinse 10 sachets,neilmed sinus rinse 10 sachets,,3
neilmed sinus rinse 50 sachets,neilmed sinus rinse 50 sachets,,4
neilmed sinus rinse kit 60 sachets,neilmed sinus rinse kit 60 sachets,,6
neilmed sinus rinse pediatric starter kit,neilmed sinus rinse pediatric starter kit,,5
neorutin,neorutin,,139
neosamin forte,neosamin,,301
neso,neso,,3
nesulix,nesulix,,20
nicomen tablets,nicomen tablets,,155
nifedipin t20 retard,nifedipin t20 retard,,37
nifehexal 30 la,nifehexal 30 la,,4
nitidine,nitidine,,589
nocutil,nocutil,,18
nolet,nolet,,7
nolvadex-d,nolvadex-d,,40
novahexin,novahexin,,649
novomix 30 flexpen + 3 đầu kim novofine,novomix 30 flexpen + 3 đầu kim novofine,,395
nozaxen,nozaxen,,188
nystatin,nystatin,,2
nén sủi,nén sủi,,2
nén sủi alphadaze -,nén sủi alphadaze -,,2
nén sủi antikans,nén sủi antikans,,3
nén sủi cefimed,nén sủi cefimed,,1
nén sủi pegaset,nén sủi pegaset,,1
nén sủi seractil,nén sủi seractil,,1
nén sủi vitatrum - b complex vitamin b1 (thiamin mononitrat) 5mg; vitamin b2 (riboflavin) 2mg; vitamin b6 (pyridoxin hydroclorid) 2mg; vitamin pp (nicotinamid),nén sủi vitatrum - b complex vitamin b1 (thiamin mononitrat) 5mg; vitamin b2 (riboflavin) 2mg; vitamin b6 (pyridoxin hydroclorid) 2mg; vitamin pp (nicotinamid),,1
oflovid,oflovid,,199
ofloxacin-pos,ofloxacin-pos,,10
olanxol,olanxol,,640
olanzap,olanzap,,56
olesom,olesom,,54
omcetti,omcetti,,1
onsetron,onsetron,,19
opedulox,opedulox,,161
opedulox 40,opedulox,,102
oprymea,oprymea,,95
oravintin,oravintin,,52
oresol,oresol,,450
ornithin,ornithin,,22
ortizole,ortizole,,5
osvimec,osvimec,,36
ozanta,ozanta,,491
padolcure,padolcure,,4
palibone,palibone,,117
palidso,palidso,,442
pallas,pallas,,63
pancal,pancal,,69
para-opc,para-opc,,10
partamol tab.,partamol tab.,,6955
partamol- cafein 500mg,partamol- cafein 500mg,,448
pataday,pataday,,58
pecflu,pecflu,,18
pecrandil,pecrandil,,14
pectol te,pectol te,,5
pegaset,pegaset,,1204
pemolip,pemolip,,26
pen ndl,pen ndl,,54
penresit,penresit,,4
penzima,penzima,,708
perfeclly,perfeclly,,27
permixon,permixon,,9
pharbacol,pharbacol,,2505
pharti derm dermatologique egf moisture cream,pharti derm dermatologique egf moisture cream,,4
phenytoin,phenytoin,,25
phileo tab,phileo,,8
philurso,philurso,,26
phlebodia,phlebodia,,309
phlorofon odt,phlorofon odt,,379
phong dan,phong dan,,129
phostaligel nic,phostaligel nic,,229
pidoncam,pidoncam,,1
plasmakare nasal clean (hộp 01 bình,plasmakare nasal clean (hộp 01 bình,,68
plavix,plavix,,63
pms -ursodiol c,pms -ursodiol c,,3
pokemine,pokemine,,17
polymer che phủ bảo vệ vết thương healit,polymer che phủ bảo vệ vết thương healit,,31
polymer che phủ bảo vệ vết thương healit rectan,polymer che phủ bảo vệ vết thương healit rectan,,76
postezatal gold,postezatal gold,,13
povidon vcp,povidon vcp,,2
powerforte,powerforte,,1
pracetam,pracetam,,531
pravastatin savi,pravastatin savi,,1
pred forte,pred,,70
pregabakern,pregabakern,,208
prevlog,prevlog,,292
prizocef,prizocef,,6
procoralan,procoralan,,24
proges,proges,,31
prolandex 60,prolandex,,5
propylthiouracil dwp,propylthiouracil dwp,,16
prusenza plus,prusenza,,1
pulmicort respules,pulmicort respules,,2
"pulmicort respules (0.25mg/1ml, ống","pulmicort respules (0.25mg/1ml, ống",,40
pyme diapro mr,pyme diapro mr,,16
qcozetax,qcozetax,,317
queitoz-50,queitoz-50,,25
quelept,quelept,,3
quetiapin,quetiapin,,25
quetiapine tablets,quetiapine tablets,,51
rablet b,rablet b,,27
rabzak,rabzak,,13
racedagim,racedagim,,32
racesec,racesec,,2
ramipril,ramipril,,247
ramipril-ac,ramipril-ac,,225
ranexicor,ranexicor,,19
raxnazole,raxnazole,,230
rebamipide,rebamipide,,373
reboncel ac gel,reboncel ac gel,,59
reboncel ultra sun block cream,reboncel ultra sun block cream,,10
reboncel urea soft cream,reboncel urea soft cream,,176
redlip,redlip,,8
reduze,reduze,,41
regulon,regulon,,31
repaglinide tablets,repaglinide tablets,,186
respiwel,respiwel,,85
revole,revole,,2
revole 40mg(3) partamol- cafein 500mg,revole 40mg(3) partamol- cafein 500mg,,1
rheumatic,rheumatic,,45
ridolip,ridolip,,414
ridolip s,ridolip s,,2145
rifaliv,rifaliv,,85
rinalix-xepa,rinalix-xepa,,307
ripratine,ripratine,,2303
risdontab,risdontab,,15
risperidon vpc,risperidon vpc,,434
ritaxim-550,ritaxim-550,,6
rivaroxaban-5a farma,rivaroxaban-5a farma,,274
