drug_name,count,generic_name,atc_code,confidence,method
emfoxim,3,cefuroxime,J01DC02,fuzzy_0.71,fuzzy_match
empagliflozin,1018,empagliflozin,A10BK03,high,manual_dict
entacron,927,entacapone,N04BX02,fuzzy_0.78,fuzzy_match
enterobella 1.109 -2.109 cfu,560,probiotics,A07FA,high,manual_dict
epilona dr,47,valproic acid,N03AG01,high,manual_dict
esdopa-40,69,,,,
eskafolvit capsule,6,,,,
eskar vita,74,,,,
esojay,23,,,,
esomeprazol,5497,esomeprazole,A02BC05,fuzzy_0.96,fuzzy_match
espumisan capsules,170,,,,
ethambutol,39,ethambutol,J04AK02,fuzzy_1.00,fuzzy_match
eto,117,,,,
etodolac dwp,81,etodolac,M01AB08,fuzzy_1.00,fuzzy_match
etofride 50,1477,etoricoxib,M01AH05,high,manual_dict
etoricoxib,1866,etoricoxib,M01AH05,high,manual_dict
eucol,409,,,,
exemesin,37,exemestane,L02BG06,fuzzy_0.78,fuzzy_match
exfast,16,,,,
ezechol,599,bethanechol,N07AB02,fuzzy_0.67,fuzzy_match
ezoleta tablet,5,,,,
famodin,612,famotidine,A02BA03,fuzzy_0.82,fuzzy_match
farzincol,1,zinc,A12CB,medium,manual_dict
fascapin-20,365,,,,
fave di fuca hydralax,12,,,,
febustad 40,60,febuxostat,M04AA03,fuzzy_0.67,fuzzy_match
fefasdin,1675,fexofenadine,R06AX26,high,manual_dict
feleifen,9,,,,
feleilor,5,,,,
felodipine stella,674,felodipine,C08CA02,high,manual_dict
femadex,48,,,,
femaplex,2,,,,
fenostad 67,53,,,,
fentimeyer 600,22,,,,
feraminda,1,fenyramidol,M03BX30,fuzzy_0.70,fuzzy_match
ferium- xt,77,cerium oxalate,A04AD02,fuzzy_0.67,fuzzy_match
fezidat,798,,,,
fibrofin-145,193,,,,
fitrofu,289,nitrofural,B05CA03,fuzzy_0.71,fuzzy_match
fixco,64,,,,
flaben,1,,,,
flixotide evohaler,4,,,,
flolistim,2,colistin,A07AA10,fuzzy_0.71,fuzzy_match
fluvastatin,775,fluvastatin,C10AA04,fuzzy_1.00,fuzzy_match
fluvastatin dwp,1368,fluvastatin,C10AA04,fuzzy_1.00,fuzzy_match
fosmitic,45,,,,
foxmyzil,1,,,,
fucipa,68,,,,
fucipa 15g(1) túyb cystin-b6 boston 500 mg,2,,,,
fudophar,63,,,,
fudophos,2,,,,
fumagate,525,almagate,A02AD03,fuzzy_0.75,fuzzy_match
gabapentin,1693,gabapentin,N03AX12,high,manual_dict
galvus,654,,,,
galvus met,132,,,,
gaptinew,326,gabapentin,N03AX12,high,manual_dict
gastevin,2665,esomeprazole,A02BC05,high,manual_dict
gastro-bisal tablet,109,,,,
gel dùng ngoài mangizeni,408,,,,
gel tra mắt eyegel,26,,,,
gel xịt miệng - họng nacato,47,,,,
gel xịt mũi nasorin,133,,,,
genituk,260,,,,
gentin,1,gentamicin,D06AX07,fuzzy_0.75,fuzzy_match
gikanin,1004,gliclazide,A10BB09,high,manual_dict
gimtafort,2,gitoformate,C01AA09,fuzzy_0.70,fuzzy_match
giotrif,1,,,,
glencinone,180,glafenine,N02BG03,fuzzy_0.74,fuzzy_match
gliclada,766,gliclazide,A10BB09,fuzzy_0.78,fuzzy_match
glimepirid dwp,294,glimepiride,A10BB12,fuzzy_0.95,fuzzy_match
glimsure,1520,lisuride,G02CB02,fuzzy_0.75,fuzzy_match
glivt,36,,,,
glizym-m,33,,,,
glucophage,9,metformin,A10BA02,high,manual_dict
glucophage xr,716,metformin,A10BA02,high,manual_dict
glucophage ® xr,681,metformin,A10BA02,high,manual_dict
glucovance,273,glucosamine,M01AX05,fuzzy_0.76,fuzzy_match
glucozinc s,22,zinc,A12CB,medium,manual_dict
glumarix 20mg; 612mg,26,,,,
glumeben,394,glibenclamide,A10BB01,high,manual_dict
glumeform,3666,metformin,A10BA02,high,manual_dict
glupain forte,7,,,,
glutowin plus,755,,,,
gluzitop mr,206,,,,
glyxambi,11,,,,
golheal,358,collagenase,D03BA,high,manual_dict
